2026-03-22 14:08:57 | DEBUG | httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7a7c1cb724b0>
2026-03-22 14:08:57 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-03-22 14:08:57 | DEBUG | httpcore.http11 | send_request_headers.complete
2026-03-22 14:08:57 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-03-22 14:08:57 | DEBUG | httpcore.http11 | send_request_body.complete
2026-03-22 14:08:57 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-03-22 14:08:58 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 400, b'Bad Request', [(b'Content-Length', b'285'), (b'Content-Type', b'application/json'), (b'Date', b'Sun, 22 Mar 2026 11:08:58 GMT'), (b'Vary', b'Origin'), (b'X-Ratelimit-Limit', b'300'), (b'X-Ratelimit-Remaining', b'295'), (b'X-Request-Id', b'cb703d3d-25c1-4e79-84f0-bc8b7688eab9'), (b'X-Robots-Tag', b'noindex, nofollow')])
2026-03-22 14:08:58 | INFO | httpx | HTTP Request: POST https://ru-2.gateway.nekocode.app/alpha/v1/chat/completions "HTTP/1.1 400 Bad Request"
2026-03-22 14:08:58 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-03-22 14:08:58 | DEBUG | httpcore.http11 | receive_response_body.complete
2026-03-22 14:08:58 | DEBUG | httpcore.http11 | response_closed.started
2026-03-22 14:08:58 | DEBUG | httpcore.http11 | response_closed.complete
2026-03-22 14:08:58 | INFO | browser_agent.cli | Closing browser...
2026-03-22 14:08:58 | DEBUG | httpcore.connection | close.started
2026-03-22 14:08:58 | DEBUG | httpcore.connection | close.complete
